Type,Price,Location,Bath(s),Area,Purpose,Bedroom(s),Added,Initial Amount,Monthly Installment,Remaining Installments,Area Name
Flat,PKR2.75 Crore,"Old Clifton, Karachi, Sindh",3,217 Sq. Yd.,For Sale,3,5 years ago,,,,Old Clifton
Flat,PKR3.6 Crore,"Old Clifton, Karachi, Sindh",3,211 Sq. Yd.,For Sale,3,5 years ago,,,,Old Clifton
Upper Portion,PKR55 Lakh,"Gulshan-e-Malir, Karachi, Sindh",2,120 Sq. Yd.,For Sale,2,3 years ago,,,,Gulshan-e-Malir
Upper Portion,PKR49 Lakh,"Gulshan-e-Malir, Karachi, Sindh",2,120 Sq. Yd.,For Sale,3,4 years ago,,,,Gulshan-e-Malir
Flat,PKR40 Lakh,"Gulshan-e-Malir, Karachi, Sindh",2,100 Sq. Yd.,For Sale,2,11 months ago,,,,Gulshan-e-Malir
Upper Portion,PKR45 Lakh,"Gulshan-e-Malir, Karachi, Sindh",2,85 Sq. Yd.,For Sale,3,2 years ago,,,,Gulshan-e-Malir
House,PKR95 Lakh,"Gulshan-e-Malir, Karachi, Sindh",3,120 Sq. Yd.,For Sale,5,2 years ago,,,,Gulshan-e-Malir
Upper Portion,PKR65 Lakh,"Gulshan-e-Malir, Karachi, Sindh",3,110 Sq. Yd.,For Sale,3,2 years ago,,,,Gulshan-e-Malir
House,PKR85 Lakh,"Gulshan-e-Malir, Karachi, Sindh",3,80 Sq. Yd.,For Sale,3,8 months ago,,,,Gulshan-e-Malir
House,PKR95 Lakh,"Gulshan-e-Malir, Karachi, Sindh",2,125 Sq. Yd.,For Sale,3,2 years ago,,,,Gulshan-e-Malir
House,PKR65 Lakh,"Gulshan-e-Malir, Karachi, Sindh",2,120 Sq. Yd.,For Sale,3,2 years ago,,,,Gulshan-e-Malir
House,PKR1.8 Crore,"Gulshan-e-Malir, Karachi, Sindh",5,170 Sq. Yd.,For Sale,5,2 years ago,,,,Gulshan-e-Malir
House,PKR85 Lakh,"Gulshan-e-Malir, Karachi, Sindh",4,96 Sq. Yd.,For Sale,4,3 years ago,,,,Gulshan-e-Malir
Upper Portion,PKR40 Lakh,"Gulshan-e-Malir, Karachi, Sindh",3,120 Sq. Yd.,For Sale,2,3 years ago,,,,Gulshan-e-Malir
Upper Portion,PKR34 Lakh,"Gulshan-e-Malir, Karachi, Sindh",2,80 Sq. Yd.,For Sale,2,4 years ago,,,,Gulshan-e-Malir
Upper Portion,PKR40 Lakh,"Gulshan-e-Malir, Karachi, Sindh",3,80 Sq. Yd.,For Sale,3,4 years ago,,,,Gulshan-e-Malir
Lower Portion,PKR60 Lakh,"Gulshan-e-Malir, Karachi, Sindh",3,150 Sq. Yd.,For Sale,2,4 years ago,,,,Gulshan-e-Malir
House,PKR75 Lakh,"Gulshan-e-Malir, Karachi, Sindh",2,120 Sq. Yd.,For Sale,2,4 years ago,,,,Gulshan-e-Malir
Flat,PKR35 Lakh,"Gulshan-e-Malir, Karachi, Sindh",2,72 Sq. Yd.,For Sale,2,3 years ago,,,,Gulshan-e-Malir
House,PKR1 Crore,"Gulshan-e-Malir, Karachi, Sindh",-,120 Sq. Yd.,For Sale,2,4 years ago,,,,Gulshan-e-Malir
House,PKR1 Crore,"Gulshan-e-Malir, Karachi, Sindh",-,80 Sq. Yd.,For Sale,6,4 years ago,,,,Gulshan-e-Malir
House,PKR1.3 Crore,"Gulshan-e-Malir, Karachi, Sindh",4,125 Sq. Yd.,For Sale,4,3 years ago,,,,Gulshan-e-Malir
Upper Portion,PKR55 Lakh,"Gulshan-e-Malir, Karachi, Sindh",3,120 Sq. Yd.,For Sale,2,4 years ago,,,,Gulshan-e-Malir
Upper Portion,PKR45 Lakh,"Gulshan-e-Malir, Karachi, Sindh",3,130 Sq. Yd.,For Sale,3,4 years ago,,,,Gulshan-e-Malir
Upper Portion,PKR45 Lakh,"Gulshan-e-Malir, Karachi, Sindh",3,130 Sq. Yd.,For Sale,3,4 years ago,,,,Gulshan-e-Malir
Lower Portion,PKR55 Lakh,"Gulshan-e-Malir, Karachi, Sindh",3,120 Sq. Yd.,For Sale,3,4 years ago,,,,Gulshan-e-Malir
Upper Portion,PKR45 Lakh,"Gulshan-e-Malir, Karachi, Sindh",3,130 Sq. Yd.,For Sale,3,4 years ago,,,,Gulshan-e-Malir
Lower Portion,PKR4 Crore,"BMCHS, Karachi, Sindh",4,260 Sq. Yd.,For Sale,4,6 months ago,,,,BMCHS
Upper Portion,PKR2.6 Crore,"BMCHS, Karachi, Sindh",3,300 Sq. Yd.,For Sale,3,2 years ago,,,,BMCHS
House,PKR12 Crore,"BMCHS, Karachi, Sindh",3,303 Sq. Yd.,For Sale,5,9 months ago,,,,BMCHS
Flat,PKR1.8 Crore,"BMCHS, Karachi, Sindh",3,144 Sq. Yd.,For Sale,3,10 months ago,,,,BMCHS
House,PKR10.5 Crore,"BMCHS, Karachi, Sindh",5,400 Sq. Yd.,For Sale,5,3 years ago,,,,BMCHS
Flat,PKR2.2 Crore,"BMCHS, Karachi, Sindh",3,139 Sq. Yd.,For Sale,3,2 years ago,,,,BMCHS
Flat,PKR1.42 Crore,"BMCHS, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,2 years ago,,,,BMCHS
Upper Portion,PKR4.2 Crore,"BMCHS, Karachi, Sindh",6,256 Sq. Yd.,For Sale,5,3 months ago,,,,BMCHS
House,PKR4.25 Crore,"BMCHS, Karachi, Sindh",4,244 Sq. Yd.,For Sale,4,3 months ago,,,,BMCHS
Flat,PKR4.5 Crore,"BMCHS, Karachi, Sindh",3,178 Sq. Yd.,For Sale,3,4 months ago,,,,BMCHS
Flat,PKR2.1 Crore,"BMCHS, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,5 months ago,,,,BMCHS
Lower Portion,PKR4 Crore,"BMCHS, Karachi, Sindh",4,260 Sq. Yd.,For Sale,4,6 months ago,,,,BMCHS
Flat,PKR3.8 Crore,"BMCHS, Karachi, Sindh",5,311 Sq. Yd.,For Sale,4,7 months ago,,,,BMCHS
Flat,PKR3 Crore,"BMCHS, Karachi, Sindh",4,219 Sq. Yd.,For Sale,3,8 months ago,,,,BMCHS
Flat,PKR4.5 Crore,"BMCHS, Karachi, Sindh",4,422 Sq. Yd.,For Sale,4,6 months ago,,,,BMCHS
Flat,PKR1.2 Crore,"BMCHS, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,2 years ago,,,,BMCHS
Flat,PKR3.25 Crore,"BMCHS, Karachi, Sindh",3,244 Sq. Yd.,For Sale,3,4 months ago,,,,BMCHS
Penthouse,PKR1.7 Crore,"BMCHS, Karachi, Sindh",5,222 Sq. Yd.,For Sale,4,10 months ago,,,,BMCHS
Flat,PKR3.2 Crore,"BMCHS, Karachi, Sindh",3,167 Sq. Yd.,For Sale,3,5 months ago,,,,BMCHS
House,PKR2 Crore,"BMCHS, Karachi, Sindh",6,654 Sq. Yd.,For Sale,5,5 months ago,,,,BMCHS
Flat,PKR3.25 Crore,"BMCHS, Karachi, Sindh",3,178 Sq. Yd.,For Sale,3,6 months ago,,,,BMCHS
Flat,PKR4 Crore,"BMCHS, Karachi, Sindh",3,189 Sq. Yd.,For Sale,3,6 months ago,,,,BMCHS
Flat,PKR1.95 Crore,"BMCHS, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,1 year ago,,,,BMCHS
Flat,PKR1.7 Crore,"BMCHS, Karachi, Sindh",-,133 Sq. Yd.,For Sale,2,8 months ago,,,,BMCHS
Lower Portion,PKR1.2 Crore,"BMCHS, Karachi, Sindh",-,303 Sq. Yd.,For Sale,-,9 months ago,,,,BMCHS
Flat,PKR1.1 Crore,"Teacher Society, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,4 weeks ago,,,,Teacher Society
House,PKR5.8 Crore,"Teacher Society, Karachi, Sindh",6,220 Sq. Yd.,For Sale,6,5 months ago,,,,Teacher Society
Lower Portion,PKR65 Lakh,"Teacher Society, Karachi, Sindh",2,94 Sq. Yd.,For Sale,2,2 years ago,,,,Teacher Society
House,PKR3.5 Crore,"Teacher Society, Karachi, Sindh",-,240 Sq. Yd.,For Sale,-,4 months ago,,,,Teacher Society
House,PKR5.7 Crore,"Teacher Society, Karachi, Sindh",7,240 Sq. Yd.,For Sale,6,2 years ago,,,,Teacher Society
Lower Portion,PKR1.4 Crore,"Teacher Society, Karachi, Sindh",3,150 Sq. Yd.,For Sale,5,9 months ago,,,,Teacher Society
House,PKR1.6 Crore,"Teacher Society, Karachi, Sindh",3,250 Sq. Yd.,For Sale,3,4 years ago,,,,Teacher Society
Flat,PKR72 Lakh,"Teacher Society, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,3 years ago,,,,Teacher Society
House,PKR1.6 Crore,"Teacher Society, Karachi, Sindh",4,250 Sq. Yd.,For Sale,3,4 years ago,,,,Teacher Society
House,PKR1.6 Crore,"Teacher Society, Karachi, Sindh",4,250 Sq. Yd.,For Sale,3,4 years ago,,,,Teacher Society
House,PKR1.6 Crore,"Teacher Society, Karachi, Sindh",3,250 Sq. Yd.,For Sale,3,4 years ago,,,,Teacher Society
House,PKR1.6 Crore,"Teacher Society, Karachi, Sindh",3,250 Sq. Yd.,For Sale,3,4 years ago,,,,Teacher Society
Lower Portion,PKR1.6 Crore,"Teacher Society, Karachi, Sindh",3,250 Sq. Yd.,For Sale,3,4 years ago,,,,Teacher Society
House,PKR3.25 Crore,"Teacher Society, Karachi, Sindh",3,240 Sq. Yd.,For Sale,3,4 years ago,,,,Teacher Society
House,PKR3.25 Crore,"Teacher Society, Karachi, Sindh",3,240 Sq. Yd.,For Sale,3,4 years ago,,,,Teacher Society
House,PKR3 Crore,"Teacher Society, Karachi, Sindh",-,240 Sq. Yd.,For Sale,6,4 years ago,,,,Teacher Society
House,PKR3.4 Crore,"Teacher Society, Karachi, Sindh",-,200 Sq. Yd.,For Sale,9,4 years ago,,,,Teacher Society
House,PKR1.7 Crore,"Teacher Society, Karachi, Sindh",-,120 Sq. Yd.,For Sale,4,4 years ago,,,,Teacher Society
House,PKR2.6 Crore,"Teacher Society, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,4 years ago,,,,Teacher Society
Flat,PKR48 Lakh,"Teacher Society, Karachi, Sindh",-,89 Sq. Yd.,For Sale,2,5 years ago,,,,Teacher Society
House,PKR3.1 Crore,"Teacher Society, Karachi, Sindh",-,240 Sq. Yd.,For Sale,9,5 years ago,,,,Teacher Society
House,PKR3.25 Crore,"Teacher Society, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,5 years ago,,,,Teacher Society
House,PKR3.25 Crore,"Teacher Society, Karachi, Sindh",9,200 Sq. Yd.,For Sale,9,4 years ago,,,,Teacher Society
House,PKR3.3 Crore,"Teacher Society, Karachi, Sindh",-,200 Sq. Yd.,For Sale,9,4 years ago,,,,Teacher Society
House,PKR1.3 Crore,"Teacher Society, Karachi, Sindh",-,240 Sq. Yd.,For Sale,-,4 years ago,,,,Teacher Society
Flat,PKR1.8 Crore,"Britto Road, Karachi, Sindh",3,178 Sq. Yd.,For Sale,3,2 weeks ago,,,,Britto Road
Flat,PKR1.25 Crore,"Britto Road, Karachi, Sindh",2,111 Sq. Yd.,For Sale,2,2 years ago,,,,Britto Road
Flat,PKR1.25 Crore,"Britto Road, Karachi, Sindh",2,111 Sq. Yd.,For Sale,2,2 years ago,,,,Britto Road
Flat,PKR1.1 Crore,"Britto Road, Karachi, Sindh",2,111 Sq. Yd.,For Sale,2,2 years ago,,,,Britto Road
Flat,PKR2.5 Crore,"Britto Road, Karachi, Sindh",3,167 Sq. Yd.,For Sale,3,2 years ago,,,,Britto Road
Flat,PKR1.1 Crore,"Britto Road, Karachi, Sindh",3,167 Sq. Yd.,For Sale,3,3 years ago,,,,Britto Road
Flat,PKR2.8 Crore,"Britto Road, Karachi, Sindh",-,233 Sq. Yd.,For Sale,4,3 years ago,,,,Britto Road
Flat,PKR2.7 Crore,"Britto Road, Karachi, Sindh",4,222 Sq. Yd.,For Sale,4,4 years ago,,,,Britto Road
Flat,PKR1.1 Crore,"Britto Road, Karachi, Sindh",3,183 Sq. Yd.,For Sale,3,4 years ago,,,,Britto Road
Flat,PKR1.2 Crore,"Britto Road, Karachi, Sindh",3,189 Sq. Yd.,For Sale,3,4 years ago,,,,Britto Road
Flat,PKR1.1 Crore,"Britto Road, Karachi, Sindh",-,183 Sq. Yd.,For Sale,3,4 years ago,,,,Britto Road
Flat,PKR1.2 Crore,"Britto Road, Karachi, Sindh",-,189 Sq. Yd.,For Sale,3,4 years ago,,,,Britto Road
Flat,PKR1.2 Crore,"Britto Road, Karachi, Sindh",-,167 Sq. Yd.,For Sale,3,4 years ago,,,,Britto Road
Flat,PKR1.2 Crore,"Britto Road, Karachi, Sindh",-,167 Sq. Yd.,For Sale,3,4 years ago,,,,Britto Road
Flat,PKR2.7 Crore,"Britto Road, Karachi, Sindh",-,444 Sq. Yd.,For Sale,4,4 years ago,,,,Britto Road
Flat,PKR1.2 Crore,"Britto Road, Karachi, Sindh",-,167 Sq. Yd.,For Sale,3,4 years ago,,,,Britto Road
Flat,PKR2.7 Crore,"Britto Road, Karachi, Sindh",-,444 Sq. Yd.,For Sale,4,4 years ago,,,,Britto Road
Flat,PKR2.7 Crore,"Britto Road, Karachi, Sindh",-,444 Sq. Yd.,For Sale,8,4 years ago,,,,Britto Road
Flat,PKR2 Crore,"Britto Road, Karachi, Sindh",4,222 Sq. Yd.,For Sale,4,4 years ago,,,,Britto Road
Flat,PKR1.9 Crore,"Britto Road, Karachi, Sindh",-,122 Sq. Yd.,For Sale,3,4 years ago,,,,Britto Road
Flat,PKR1.9 Crore,"Britto Road, Karachi, Sindh",-,122 Sq. Yd.,For Sale,3,4 years ago,,,,Britto Road
Flat,PKR1.9 Crore,"Britto Road, Karachi, Sindh",-,178 Sq. Yd.,For Sale,3,4 years ago,,,,Britto Road
Flat,PKR1.9 Crore,"Britto Road, Karachi, Sindh",-,178 Sq. Yd.,For Sale,3,4 years ago,,,,Britto Road
Flat,PKR1.9 Crore,"Britto Road, Karachi, Sindh",-,178 Sq. Yd.,For Sale,3,4 years ago,,,,Britto Road
Flat,PKR1.9 Crore,"Britto Road, Karachi, Sindh",-,178 Sq. Yd.,For Sale,3,4 years ago,,,,Britto Road
Flat,PKR59 Lakh,"Shahra-e-Liaquat, Karachi, Sindh",1,83 Sq. Yd.,For Sale,3,2 years ago,,,,Shahra-e-Liaquat
Flat,PKR1.47 Crore,"Shahra-e-Liaquat, Karachi, Sindh",2,102 Sq. Yd.,For Sale,2,1 year ago,,,,Shahra-e-Liaquat
Flat,PKR1.41 Crore,"Shahra-e-Liaquat, Karachi, Sindh",2,98 Sq. Yd.,For Sale,2,1 year ago,,,,Shahra-e-Liaquat
Flat,PKR1.47 Crore,"Shahra-e-Liaquat, Karachi, Sindh",2,102 Sq. Yd.,For Sale,2,1 year ago,,,,Shahra-e-Liaquat
Flat,PKR1.47 Crore,"Shahra-e-Liaquat, Karachi, Sindh",2,102 Sq. Yd.,For Sale,2,1 year ago,,,,Shahra-e-Liaquat
Flat,PKR1.47 Crore,"Shahra-e-Liaquat, Karachi, Sindh",2,102 Sq. Yd.,For Sale,2,1 year ago,,,,Shahra-e-Liaquat
Flat,PKR1.47 Crore,"Shahra-e-Liaquat, Karachi, Sindh",2,102 Sq. Yd.,For Sale,2,1 year ago,,,,Shahra-e-Liaquat
Flat,PKR1.43 Crore,"Shahra-e-Liaquat, Karachi, Sindh",2,99 Sq. Yd.,For Sale,2,1 year ago,,,,Shahra-e-Liaquat
Flat,PKR85 Lakh,"Shahra-e-Liaquat, Karachi, Sindh",2,117 Sq. Yd.,For Sale,2,3 years ago,,,,Shahra-e-Liaquat
Flat,PKR2.1 Crore,"Shahra-e-Liaquat, Karachi, Sindh",2,150 Sq. Yd.,For Sale,2,4 years ago,,,,Shahra-e-Liaquat
House,PKR1.65 Crore,"Shahra-e-Liaquat, Karachi, Sindh",-,90 Sq. Yd.,For Sale,7,5 years ago,,,,Shahra-e-Liaquat
Flat,PKR65 Lakh,"Shahra-e-Liaquat, Karachi, Sindh",2,67 Sq. Yd.,For Sale,2,2 years ago,,,,Shahra-e-Liaquat
Flat,PKR15.8 Lakh,"Shahra-e-Liaquat, Karachi, Sindh",1,50 Sq. Yd.,For Sale,2,10 months ago,,,,Shahra-e-Liaquat
Flat,PKR75 Lakh,"Shahra-e-Liaquat, Karachi, Sindh",2,88 Sq. Yd.,For Sale,2,1 year ago,,,,Shahra-e-Liaquat
House,PKR82 Lakh,"Shahra-e-Liaquat, Karachi, Sindh",3,100 Sq. Yd.,For Sale,3,2 years ago,,,,Shahra-e-Liaquat
Flat,PKR14 Lakh,"Shahra-e-Liaquat, Karachi, Sindh",1,50 Sq. Yd.,For Sale,2,2 years ago,,,,Shahra-e-Liaquat
Flat,PKR70 Lakh,"Shahra-e-Liaquat, Karachi, Sindh",3,111 Sq. Yd.,For Sale,4,2 years ago,,,,Shahra-e-Liaquat
Flat,PKR50 Lakh,"Shahra-e-Liaquat, Karachi, Sindh",2,89 Sq. Yd.,For Sale,2,3 years ago,,,,Shahra-e-Liaquat
Flat,PKR70 Lakh,"Shahra-e-Liaquat, Karachi, Sindh",1,92 Sq. Yd.,For Sale,3,8 months ago,,,,Shahra-e-Liaquat
Upper Portion,PKR1.3 Crore,"Shahra-e-Liaquat, Karachi, Sindh",3,200 Sq. Yd.,For Sale,4,2 years ago,,,,Shahra-e-Liaquat
Flat,PKR54 Lakh,"Shahra-e-Liaquat, Karachi, Sindh",2,111 Sq. Yd.,For Sale,2,3 years ago,,,,Shahra-e-Liaquat
Flat,PKR40 Lakh,"Shahra-e-Liaquat, Karachi, Sindh",2,89 Sq. Yd.,For Sale,2,4 years ago,,,,Shahra-e-Liaquat
Flat,PKR30 Lakh,"Shahra-e-Liaquat, Karachi, Sindh",2,116 Sq. Yd.,For Sale,2,3 years ago,,,,Shahra-e-Liaquat
Flat,PKR35 Lakh,"Shahra-e-Liaquat, Karachi, Sindh",2,89 Sq. Yd.,For Sale,2,4 years ago,,,,Shahra-e-Liaquat
Flat,PKR22 Lakh,"Shahra-e-Liaquat, Karachi, Sindh",2,61 Sq. Yd.,For Sale,2,5 years ago,,,,Shahra-e-Liaquat
House,PKR5.7 Crore,"Mauripur Road, Karachi, Sindh",6,700 Sq. Yd.,For Sale,5,1 year ago,,,,Mauripur Road
House,PKR1.6 Crore,"Mauripur Road, Karachi, Sindh",4,180 Sq. Yd.,For Sale,4,9 months ago,,,,Mauripur Road
House,PKR40 Lakh,"Mauripur Road, Karachi, Sindh",2,80 Sq. Yd.,For Sale,2,2 years ago,,,,Mauripur Road
House,PKR38 Lakh,"Mauripur Road, Karachi, Sindh",1,200 Sq. Yd.,For Sale,3,1 year ago,,,,Mauripur Road
Flat,PKR30.5 Lakh,"Mauripur Road, Karachi, Sindh",2,44 Sq. Yd.,For Sale,2,1 year ago,,,,Mauripur Road
House,PKR68 Lakh,"Mauripur Road, Karachi, Sindh",4,220 Sq. Yd.,For Sale,5,3 years ago,,,,Mauripur Road
House,PKR45 Lakh,"Mauripur Road, Karachi, Sindh",-,80 Sq. Yd.,For Sale,-,2 years ago,,,,Mauripur Road
House,PKR35 Lakh,"Mauripur Road, Karachi, Sindh",3,80 Sq. Yd.,For Sale,3,2 years ago,,,,Mauripur Road
House,PKR80 Lakh,"Mauripur Road, Karachi, Sindh",4,220 Sq. Yd.,For Sale,5,3 years ago,,,,Mauripur Road
House,PKR1 Crore,"Mauripur Road, Karachi, Sindh",5,78 Sq. Yd.,For Sale,5,3 years ago,,,,Mauripur Road
Flat,PKR22 Lakh,"Mauripur Road, Karachi, Sindh",-,240 Sq. Yd.,For Sale,1,3 years ago,,,,Mauripur Road
House,PKR35 Lakh,"Mauripur Road, Karachi, Sindh",3,160 Sq. Yd.,For Sale,2,5 years ago,,,,Mauripur Road
Flat,PKR1.3 Crore,"Mauripur Road, Karachi, Sindh",-,94 Sq. Yd.,For Sale,3,6 years ago,,,,Mauripur Road
House,PKR70 Lakh,"Mauripur Road, Karachi, Sindh",3,500 Sq. Yd.,For Sale,2,8 years ago,,,,Mauripur Road
Flat,PKR25 Lakh,"Mauripur Road, Karachi, Sindh",3,225 Sq. Yd.,For Sale,3,8 years ago,,,,Mauripur Road
House,PKR45 Lakh,"Mauripur Road, Karachi, Sindh",2,250 Sq. Yd.,For Sale,4,9 years ago,,,,Mauripur Road
Flat,PKR1.38 Crore,"I. I. Chundrigar Road, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,9 months ago,,,,I.I. Chundrigar Road
Flat,PKR1.38 Crore,"I. I. Chundrigar Road, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,11 months ago,,,,I.I. Chundrigar Road
Flat,PKR1.2 Crore,"I. I. Chundrigar Road, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,4 years ago,,,,I.I. Chundrigar Road
Flat,PKR67 Lakh,"I. I. Chundrigar Road, Karachi, Sindh",2,100 Sq. Yd.,For Sale,2,1 year ago,,,,I.I. Chundrigar Road
Flat,PKR1.38 Crore,"I. I. Chundrigar Road, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,6 months ago,,,,I.I. Chundrigar Road
Flat,PKR1.38 Crore,"I. I. Chundrigar Road, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,7 months ago,,,,I.I. Chundrigar Road
Flat,PKR1.52 Crore,"I. I. Chundrigar Road, Karachi, Sindh",2,"2,222 Sq. Yd.",For Sale,2,2 months ago,,,,I.I. Chundrigar Road
Flat,PKR1.38 Crore,"I. I. Chundrigar Road, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,5 months ago,,,,I.I. Chundrigar Road
Flat,PKR1.38 Crore,"I. I. Chundrigar Road, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,5 months ago,,,,I.I. Chundrigar Road
Flat,PKR1.38 Crore,"I. I. Chundrigar Road, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,6 months ago,,,,I.I. Chundrigar Road
Flat,PKR1.38 Crore,"I. I. Chundrigar Road, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,6 months ago,,,,I.I. Chundrigar Road
Flat,PKR1.38 Crore,"I. I. Chundrigar Road, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,6 months ago,,,,I.I. Chundrigar Road
Flat,PKR1.38 Crore,"I. I. Chundrigar Road, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,7 months ago,,,,I.I. Chundrigar Road
Flat,PKR1.38 Crore,"I. I. Chundrigar Road, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,7 months ago,,,,I.I. Chundrigar Road
Flat,PKR1.38 Crore,"I. I. Chundrigar Road, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,10 months ago,,,,I.I. Chundrigar Road
Flat,PKR2.83 Crore,"I. I. Chundrigar Road, Karachi, Sindh",4,250 Sq. Yd.,For Sale,4,11 months ago,,,,I.I. Chundrigar Road
Flat,PKR1.74 Crore,"I. I. Chundrigar Road, Karachi, Sindh",2,153 Sq. Yd.,For Sale,2,6 months ago,,,,I.I. Chundrigar Road
Flat,PKR2.83 Crore,"I. I. Chundrigar Road, Karachi, Sindh",4,250 Sq. Yd.,For Sale,4,6 months ago,,,,I.I. Chundrigar Road
Flat,PKR50 Lakh,"I. I. Chundrigar Road, Karachi, Sindh",2,94 Sq. Yd.,For Sale,2,2 years ago,,,,I.I. Chundrigar Road
House,PKR1.2 Crore,"I. I. Chundrigar Road, Karachi, Sindh",4,183 Sq. Yd.,For Sale,4,3 years ago,,,,I.I. Chundrigar Road
Flat,PKR1.2 Crore,"I. I. Chundrigar Road, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,3 years ago,,,,I.I. Chundrigar Road
Flat,PKR1.2 Crore,"I. I. Chundrigar Road, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,3 years ago,,,,I.I. Chundrigar Road
Flat,PKR1.2 Crore,"I. I. Chundrigar Road, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,3 years ago,,,,I.I. Chundrigar Road
Flat,PKR1.2 Crore,"I. I. Chundrigar Road, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,3 years ago,,,,I.I. Chundrigar Road
Flat,PKR1.2 Crore,"I. I. Chundrigar Road, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,3 years ago,,,,I.I. Chundrigar Road
House,PKR2.25 Crore,"Gulshan-e-Umair, Karachi, Sindh",6,128 Sq. Yd.,For Sale,6,2 weeks ago,,,,Gulshan-e-Umair
House,PKR2.5 Crore,"Gulshan-e-Umair, Karachi, Sindh",6,120 Sq. Yd.,For Sale,6,3 weeks ago,,,,Gulshan-e-Umair
House,PKR2.5 Crore,"Gulshan-e-Umair, Karachi, Sindh",6,160 Sq. Yd.,For Sale,6,5 months ago,,,,Gulshan-e-Umair
House,PKR2.2 Crore,"Gulshan-e-Umair, Karachi, Sindh",5,160 Sq. Yd.,For Sale,4,11 months ago,,,,Gulshan-e-Umair
House,PKR1.58 Crore,"Gulshan-e-Umair, Karachi, Sindh",4,128 Sq. Yd.,For Sale,3,2 years ago,,,,Gulshan-e-Umair
House,PKR2.2 Crore,"Gulshan-e-Umair, Karachi, Sindh",4,160 Sq. Yd.,For Sale,4,2 years ago,,,,Gulshan-e-Umair
House,PKR1.85 Crore,"Gulshan-e-Umair, Karachi, Sindh",4,160 Sq. Yd.,For Sale,4,8 months ago,,,,Gulshan-e-Umair
House,PKR1.5 Crore,"Gulshan-e-Umair, Karachi, Sindh",2,128 Sq. Yd.,For Sale,2,2 months ago,,,,Gulshan-e-Umair
House,PKR2 Crore,"Gulshan-e-Umair, Karachi, Sindh",8,160 Sq. Yd.,For Sale,8,8 months ago,,,,Gulshan-e-Umair
House,PKR1.65 Crore,"Gulshan-e-Umair, Karachi, Sindh",2,160 Sq. Yd.,For Sale,2,8 months ago,,,,Gulshan-e-Umair
House,PKR1.1 Crore,"Gulshan-e-Umair, Karachi, Sindh",3,128 Sq. Yd.,For Sale,2,5 years ago,,,,Gulshan-e-Umair
House,PKR1.7 Crore,"Gulshan-e-Umair, Karachi, Sindh",4,160 Sq. Yd.,For Sale,4,3 years ago,,,,Gulshan-e-Umair
House,PKR1.5 Crore,"Gulshan-e-Umair, Karachi, Sindh",3,128 Sq. Yd.,For Sale,3,3 years ago,,,,Gulshan-e-Umair
House,PKR1.2 Crore,"Gulshan-e-Umair, Karachi, Sindh",3,130 Sq. Yd.,For Sale,3,4 years ago,,,,Gulshan-e-Umair
House,PKR2 Crore,"Gulshan-e-Umair, Karachi, Sindh",6,140 Sq. Yd.,For Sale,6,4 years ago,,,,Gulshan-e-Umair
House,PKR1.35 Crore,"Gulshan-e-Umair, Karachi, Sindh",2,160 Sq. Yd.,For Sale,2,3 years ago,,,,Gulshan-e-Umair
House,PKR1.3 Crore,"Gulshan-e-Umair, Karachi, Sindh",-,153 Sq. Yd.,For Sale,3,5 years ago,,,,Gulshan-e-Umair
House,PKR1.91 Crore,"Gulshan-e-Umair, Karachi, Sindh",2,270 Sq. Yd.,For Sale,2,1 year ago,,,,Gulshan-e-Umair
House,PKR2.15 Crore,"Gulshan-e-Umair, Karachi, Sindh",6,160 Sq. Yd.,For Sale,5,2 years ago,,,,Gulshan-e-Umair
House,PKR2.1 Crore,"Gulshan-e-Umair, Karachi, Sindh",5,100 Sq. Yd.,For Sale,5,11 months ago,,,,Gulshan-e-Umair
House,PKR1.3 Crore,"Gulshan-e-Umair, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,1 year ago,,,,Gulshan-e-Umair
